year,avg_temp_x,avg_temp_y
1750,9.83,8.72
1751,9.75,7.98
1752,4.84,5.78
1753,8.72,8.39
1754,8.49,8.47
1755,8.26,8.36
1756,9.62,8.85
1757,9.15,9.02
1758,8.25,6.74
1759,9.04,7.99
1760,8.99,7.19
1761,9.47,8.77
1762,8.53,8.61
1763,8.62,7.5
1764,8.91,8.4
1765,8.54,8.25
1766,8.87,8.41
1767,8.14,8.22
1768,8.03,6.78
1769,8.46,7.69
1770,8.5,7.69
1771,7.45,7.85
1772,9.13,8.19
1773,9.52,8.22
1774,8.46,8.77
1775,10.1,9.18
1776,8.36,8.3
1777,8.29,8.26
1778,9.43,8.54
1779,10.47,8.98
1780,8.78,9.43
1781,9.98,8.1
1782,8.61,7.9
1783,9.76,7.68
1784,7.67,7.86
1785,7.42,7.36
1786,7.68,8.26
1787,9.27,8.03
1788,8.33,8.45
1789,8.99,8.33
1790,9.09,7.98
1791,9.55,8.23
1792,8.9,8.09
1793,9.18,8.23
1794,10.02,8.53
1795,8.87,8.35
1796,9.01,8.27
1797,10.07,8.51
1798,9.33,8.67
1799,6.72,8.51
1800,8.6,8.48
1801,9.61,8.59
1802,9.08,8.58
1803,8.02,8.5
1804,8.36,8.84
1805,7.2,8.56
1806,9.67,8.43
1807,9.42,8.28
1808,8.15,7.63
1809,8.66,7.08
1810,8.46,6.92
1811,9.93,6.86
1812,7.35,7.05
1813,8.66,7.74
1814,7.46,7.59
1815,8.38,7.24
1816,7.75,6.94
1817,8.92,6.98
1818,9.0,7.83
1819,9.43,7.37
1820,7.86,7.62
1821,9.15,8.09
1822,10.05,8.19
1823,8.26,7.72
1824,9.61,8.55
1825,9.32,8.39
1826,9.35,8.36
1827,8.99,8.81
1828,8.94,8.17
1829,6.52,7.94
1830,8.08,8.52
1831,8.93,7.64
1832,8.34,7.45
1833,8.89,8.01
1834,10.4,8.15
1835,8.81,7.39
1836,8.88,7.7
1837,8.12,7.38
1838,6.98,7.51
1839,8.63,7.63
1840,7.74,7.8
1841,9.06,7.69
1842,8.51,8.02
1843,9.18,8.17
1844,7.85,7.65
1845,7.92,7.85
1846,9.84,8.55
1847,8.24,8.09
1848,8.75,7.98
1849,8.03,7.98
1850,8.2,7.9
1851,8.5,8.18
1852,9.54,8.1
1853,7.55,8.04
1854,8.69,8.21
1855,7.07,8.11
1856,8.5,8.0
1857,9.39,7.76
1858,7.97,8.1
1859,9.6,8.25
1860,8.0,7.96
1861,8.87,7.85
1862,8.91,7.56
1863,9.81,8.11
1864,6.99,7.98
1865,8.88,8.18
1866,9.44,8.29
1867,8.41,8.44
1868,10.24,8.25
1869,9.06,8.43
1870,7.57,8.2
1871,7.08,8.12
1872,9.97,8.19
1873,9.27,8.35
1874,9.08,8.43
1875,8.04,7.86
1876,8.64,8.08
1877,8.95,8.54
1878,9.38,8.83
1879,7.46,8.17
1880,9.08,8.12
1881,7.75,8.27
1882,9.28,8.13
1883,8.54,7.98
1884,9.2,7.77
1885,8.47,7.92
1886,8.55,7.95
1887,7.93,7.91
1888,7.61,8.09
1889,8.34,8.32
1890,8.35,7.97
1891,8.48,8.02
1892,8.28,8.07
1893,8.5,8.06
1894,8.96,8.16
1895,8.28,8.15
1896,8.57,8.21
1897,8.69,8.29
1898,9.42,8.18
1899,8.96,8.4
1900,9.16,8.5
1901,8.58,8.54
1902,7.63,8.3
1903,9.28,8.22
1904,9.15,8.09
1905,8.9,8.23
1906,9.31,8.38
1907,8.52,7.95
1908,8.35,8.19
1909,8.16,8.18
1910,9.33,8.22
1911,9.89,8.18
1912,8.49,8.17
1913,9.41,8.3
1914,9.5,8.59
1915,8.56,8.59
1916,9.3,8.23
1917,8.39,8.02
1918,9.42,8.13
1919,8.0,8.38
1920,9.37,8.36
1921,9.78,8.57
1922,7.76,8.41
1923,8.58,8.42
1924,8.3,8.51
1925,9.32,8.53
1926,9.57,8.73
1927,8.72,8.52
1928,8.92,8.63
1929,7.99,8.24
1930,9.48,8.63
1931,8.35,8.72
1932,9.23,8.71
1933,8.32,8.34
1934,10.69,8.63
1935,9.34,8.52
1936,9.3,8.55
1937,9.41,8.7
1938,9.77,8.86
1939,9.32,8.76
1940,7.04,8.76
1941,7.62,8.77
1942,7.8,8.73
1943,9.67,8.76
1944,9.31,8.85
1945,9.64,8.58
1946,9.12,8.68
1947,8.79,8.8
1948,9.96,8.75
1949,10.04,8.59
1950,9.37,8.37
1951,9.72,8.63
1952,8.61,8.64
1953,10.13,8.87
1954,8.41,8.56
1955,8.36,8.63
1956,7.57,8.28
1957,9.46,8.73
1958,9.05,8.77
1959,9.88,8.73
1960,9.22,8.58
1961,9.81,8.8
1962,8.13,8.75
1963,8.12,8.86
1964,8.84,8.41
1965,8.33,8.53
1966,9.34,8.6
1967,10.08,8.7
1968,9.28,8.52
1969,8.43,8.6
1970,8.43,8.7
1971,9.54,8.6
1972,8.88,8.5
1973,9.24,8.95
1974,9.89,8.47
1975,10.08,8.74
1976,9.15,8.35
1977,9.54,8.85
1978,8.86,8.69
1979,8.53,8.73
1980,8.26,8.98
1981,9.18,9.17
1982,10.08,8.64
1983,10.21,9.03
1984,8.94,8.69
1985,8.46,8.66
1986,8.78,8.83
1987,8.09,8.99
1988,10.02,9.2
1989,10.72,8.92
1990,10.71,9.23
1991,9.36,9.18
1992,10.38,8.84
1993,9.34,8.87
1994,10.43,9.04
1995,9.75,9.35
1996,7.88,9.04
1997,9.73,9.2
1998,10.05,9.52
1999,10.58,9.29
2000,10.96,9.2
2001,9.69,9.41
2002,10.26,9.57
2003,10.07,9.53
2004,9.82,9.32
2005,9.92,9.7
2006,10.55,9.53
2007,10.88,9.73
2008,10.66,9.43
2009,10.06,9.51
2010,8.61,9.7
2011,10.56,9.52
2012,9.96,9.51
2013,10.12,9.61
